Lesson,Manx,English,Category
11,lhiantyn (rish),stick (to),Verb
11,crackan,skin,Noun
11,gounsternee,barking,Verb
11,shliee,licking,Verb
11,lowal (da),allowed (for),Verb
11,mychione,about,Preposition
11,keayney,crying,Verb
11,gonnagh,sore,Adjective
11,cur lesh,bringing,Verb
11,mac,son,Noun
11,blestal,blasting,Verb
11,bollagh,completely,Adverb
11,feagh,quiet,Adjective
11,fo,under,Preposition
11,gaase,growing,Verb
11,gerrid,soon,Adverb
11,kione,head,Noun
11,lhiattee,side,Noun
11,lhisagh,should,Verb
11,mean,middle,Noun
11,mullagh,top,Noun
11,ny hoie,sitting,Phrase
11,ooh,egg,Noun
11,shnoagyragh,sneaking,Verb
11,snoggal,nodding,Verb
11,sonsheragh,whispering,Verb
11,traa,time,Noun
11,trooid,through,Preposition
11,çhelleeragh,at once,Adverb
12,ny s'accryssagh,hungrier,Adjective
12,ny s'boiragh,cloudier,Adjective
12,ny s'dorraghey,darker,Adjective
12,ny s'deinney,fiercer,Adjective
12,bluckan,ball,Noun
12,dooisht,awake,Adjective
12,farrane,fountain / water source,Noun
12,gial,bright,Adjective
12,lhie,going to bed,Verb
12,litçher,sluggard,Noun
12,quaagh,strange,Adjective
12,shein,supposing / speculating,Verb
13,yn vaatey,the boat,Noun
13,yn ven,the woman,Noun
13,yn ghrian,the sun,Noun
13,yn eayst,the moon,Noun
13,cass vooar,a big foot,Noun
13,çheer vooar,a big country,Noun
13,duillag vooar,a big leaf,Noun
13,fannag vooar,a big crow,Noun
13,geay vooar,a big wind,Noun
13,jough vooar,a big drink,Noun
13,paag vooar,a big kiss,Noun
13,queeyl vooar,a big wheel,Noun
13,sooill vooar,a big eye,Noun
13,sleayst vooar,a big shovel,Noun
13,shapp vooar,a big shop,Noun
13,thunnag vooar,a big duck,Noun
13,caashagh,cheesy puffs,Noun
14,olk,bad,Adjective
14,aashagh,easy,Adjective
14,smessey,worse / worst,Adjective
14,sassey,easier,Adjective
14,share,better,Adjective
14,s'çhoe,hotter / hottest,Adjective
14,saa,younger / youngest,Adjective
14,shinney,older / oldest,Adjective
14,dy kinjagh,always,Adverb
14,jaagh,smoke,Noun
14,torcan,fume,Noun
14,follym-faase,desolate,Adjective
14,soaral,smelling,Verb
14,ard-vee,super-food,Noun
14,soilshey,light,Noun
14,greim,bite / morsel,Noun
14,lhieeney,filling,Adjective
14,bolg,belly,Noun
14,ry-gheddyn,available,Adjective
14,kiarail,intending,Verb
14,puffyn caashagh,cheesy puffs,Noun
14,ard-venainshter,head mistress,Noun
14,ayns firrinys,in truth,Phrase
14,braag,shoe,Noun
14,cur seose,give up,Phrase
14,lossreeyn,vegetables,Noun
14,sneih,crossness / offence,Noun
15,er y voayrd,on the table,Phrase
15,fo'n voayrd,under the table,Phrase
15,ayns y haggey,in the haggey,Phrase
15,arragh,spring,Noun
15,billey,tree,Noun
15,cheayrtyn,sometimes,Adverb
15,cheilley,each other,Pronoun
15,clooie,plumage,Noun
15,daaney,rude,Adjective
15,dooys,to ME,Preposition
15,ersooyl,away,Adverb
15,foddey,far,Adverb
15,fouyr,autumn,Noun
15,geurey,winter,Noun
15,gob,beak,Noun
15,meanagh,middle,Adjective
15,rass,seed,Noun
15,seihll,world,Noun
15,shee,peace / sprite (e.g. ben shee),Noun
15,slieau,mountain,Noun
15,sperriu,sparrows,Noun
16,Manninagh,Manx person,Noun
16,Yernagh,Irish person,Noun
16,Bretnagh,Welsh person,Noun
16,Albinagh,Scottish person,Noun
16,Sostynagh,English person,Noun
16,aash,a rest,Noun
16,dorraghey,dark,Adjective
16,dyn dooyt,without a doubt,Phrase
16,firrinys,truth,Noun
16,Frangagh,a French person,Noun
16,goll roym,setting off,Phrase
16,ny haaue,retired,Phrase
16,shiar,east,Noun
16,shirrey,seeking,Verb
17,thie y dooinney,the man's house,Phrase
17,caayr y ven,the woman's car,Phrase
17,thie yn dooinney,the house of the man,Phrase
17,anjeeal,breakfast,Noun
17,blass,taste,Noun
17,boayrd,table,Noun
17,bouyr,deaf,Adjective
17,bun,bottom,Noun
17,fuinnit,baked,Adjective
17,greie-clashtyn,hearing-aid,Noun
17,mwarree,granny,Noun
17,poanrey,bean,Noun
17,shaner,grandad,Noun
17,slatt-obbee,magic wand,Noun
17,speckleyryn,glasses,Noun
17,stoyl,seat / stool,Noun
17,stoyl-drommey,chair,Noun
18,s'tappee,fastest,Adjective
18,s'moo,biggest,Adjective
18,s'jerree,last / latest,Adjective
18,s'share,best,Adjective
18,agglagh,scary / scared,Adjective
18,eddin,face,Noun
18,liauyr,long,Adjective
18,mooidjeen,villain,Noun
18,Ny Moominyn,The Moomins,Noun
18,shennaghys,history,Noun
18,soiagh er,attacking,Phrase
18,dyn vanneryn,exceedingly (lit. 'without manners'),Phrase
19,thie Pheddyr,Peter's house,Phrase
19,cabbyl Voirrey,Mary's horse,Phrase
19,brishey,breaking,Verb
19,cass,foot,Noun
19,ennym,name,Noun
19,foddey,much,Adverb
19,greasee,cobbler,Noun
19,inneen,daughter / girl,Noun
19,jiass,south,Noun
19,scuirr,stopping,Verb
19,she nyn mea,you’re welcome (polite / plural),Phrase
19,straid,street,Noun
19,thalhear,tailor,Noun
20,fod,can / to be able,Verb
20,cha nod,cannot,Verb
20,nod?,can?,Verb
20,baanrit,crazy,Adjective
20,cha s’aym,I don’t know,Phrase
20,credjal,believing,Verb
20,dyn,without,Preposition
20,faasagh,desert,Noun
20,goardrail,ordering,Verb
20,gyere,sharp,Adjective
20,luss,herb,Noun
20,niau,heaven,Noun
20,skaal,saucer,Noun
20,çhiu,thick,Adjective
